UserID,PaymentRevenue
1673672646759-6010710452938637680,"5,826125793"
1673811886533-3308641358962027481,"1,163524761"
1673557631838-4075714709968288531,"6,056467465"
1673557631838-4075714709968288531,"6,056467465"
1673713438526-5393379852337099847,"3,832763742"
1673736242802-6016067639683359509,"6,480860364"
1673670959707-4461760122653175614,"1,99"
1673794702855-4085936612867003776,"1,163792417"
1673670959707-4461760122653175614,"5,99"
1673670959707-4461760122653175614,"2,99"
1673894696542-1910345648587872401,"1,657541352"
1673894696542-1910345648587872401,"4,032044263"
1673894696542-1910345648587872401,"4,03316"
1673879855079-8478894217012453542,"2,98741561"
1673625536962-3029069623219962180,"8,844144426"
1673625536962-3029069623219962180,"46,26282988"
1673794702855-4085936612867003776,"1,172487608"
1673794702855-4085936612867003776,"1,759710116"
1673752808799-5008726035938082579,"4,145330407"
1673625536962-3029069623219962180,"1,360407335"
1673537581631-1045055346906437675,"46,50649626"
1673870232490-6633080454594129080,"3,390509984"
1673870232490-6633080454594129080,"3,390509984"
1673801308584-3880392720109473320,"4,032752685"
1673801308584-3880392720109473320,"4,032230176"
1673801308584-3880392720109473320,"4,032230176"
1673801308584-3880392720109473320,"4,032230176"
1673870232490-6633080454594129080,"3,390509984"
1673870232490-6633080454594129080,"3,390509984"
1673870232490-6633080454594129080,"3,390509984"
1673870232490-6633080454594129080,"1,663269049"
1673715298022-255122404746753934,"6,004887133"
1673816536165-4354865589246649674,"10,82"
1673852136139-6827594803584089728,"12,10810294"
1673852136139-6827594803584089728,"3,561627706"
1673681577899-7871849731513935048,"3,352439239"
1673827314621-4634306913227292481,"8,195618442"
1673666655501-2145638201397573351,"13,21662934"
1673781153081-2016458875804937136,"3,350674829"
1673666655501-2145638201397573351,"13,15407416"
1673818368646-7482283760190329185,"6,916688726"
1673818368646-7482283760190329185,"3,350969502"
1673818368646-7482283760190329185,"6,915264733"
1673818368646-7482283760190329185,"3,352945858"
1673818368646-7482283760190329185,"2,07543037"
1673816611908-4299411906708605908,"1,17735045"
1673645028619-3010374729274518850,"6,482824304"
1673603062264-736012863630460207,"3,059742503"
1673816611908-4299411906708605908,"3,056623609"
1673816611908-4299411906708605908,"3,056623609"
1673842062078-2447374527198539399,"2,795899348"
1673869867430-2500613555991784936,"2,251413767"
1673869867430-2500613555991784936,"7,506287856"
1673869867430-2500613555991784936,"3,859566458"
1673670959707-4461760122653175614,"2,99"
1673670959707-4461760122653175614,"9,99"
1673645028619-3010374729274518850,"3,875508728"
1673794702855-4085936612867003776,"1,173749858"
1673870088909-3129575211428562360,"6,762688213"
1673537581631-1045055346906437675,"2,446496449"
1673537581631-1045055346906437675,"1,359043866"
1673794702855-4085936612867003776,"5,876587355"
1673901709799-1049852273629746432,"6,211115817"
1673802194553-6565942948752103578,"13,5967135"
1673789034121-1837074433739723606,"3,058724369"
1673922225341-1149308068658757168,"58,94847771"
1673736242802-6016067639683359509,"2,591375815"
1673783246156-1492949259528038860,"1,939211834"
1673783246156-1492949259528038860,"6,700566278"
1673794702855-4085936612867003776,"1,162520118"
1673876045657-5054370085940805028,"3,245051297"
1673876045657-5054370085940805028,"5,4051712"
1673783246156-1492949259528038860,"4,042529537"
1673794702855-4085936612867003776,"3,025657537"
1673783246156-1492949259528038860,"1,939211834"
1673846692205-4737235881587839907,"7,455373466"
1673818788542-5181691455591675509,"1,163536288"
1673899211041-8523904247547224916,"1,176714472"
1673673308372-1271430692906443497,"3,028383471"
1673915183247-6693626081930510753,"1,163602513"
1673617701230-1254440650165122365,"2,689711045"
1673617701230-1254440650165122365,"12,95166082"
1673812707841-4135655332639279106,"12,62685571"
1673775202006-5323420304334114571,"3,628336217"
1673630051022-6068238944137604885,"6,059699975"
