MediaSource,CampaignID,Channel,Cost
MediaSource1,19560308588,Network,"2594,5129"
MediaSource1,19560305480,Network,"2661,085983"
MediaSource1,19560308588,Search,"1206,427759"
MediaSource1,19560305480,Search,"1105,145814"
MediaSource1,19560305480,VideoNetwork,"12,431458"
MediaSource1,19560308588,VideoNetwork,"86,594246"
MediaSource2,lQX9cNlleNjAtuzw,ADCOLONY,"449,9726"
MediaSource2,lQX9cNlleNjAtuzw,ADX,"504,7052"
MediaSource2,lQX9cNlleNjAtuzw,FYBER,"1022,0412"
MediaSource2,lQX9cNlleNjAtuzw,SAMSUNG,"130,3628"
MediaSource2,lQX9cNlleNjAtuzw,UNITY,"2238,3952"
MediaSource2,lQX9cNlleNjAtuzw,NIMBUS,"0,8176"
MediaSource2,lQX9cNlleNjAtuzw,MOBILITYWARE,"13,9664"
MediaSource2,lQX9cNlleNjAtuzw,APS,"75,7184"
MediaSource2,lQX9cNlleNjAtuzw,PUBMATIC,"5,463"
MediaSource2,lQX9cNlleNjAtuzw,TAPJOY,"337,8599"
MediaSource2,lQX9cNlleNjAtuzw,NAVER,"3,5308"
MediaSource2,lQX9cNlleNjAtuzw,IRONSOURCE,"3789,6839"
MediaSource2,lQX9cNlleNjAtuzw,MOMENTO,"9,3921"
MediaSource2,lQX9cNlleNjAtuzw,INMOBI,"622,1109"
MediaSource2,lQX9cNlleNjAtuzw,CHARTBOOST,"241,7514"
MediaSource2,lQX9cNlleNjAtuzw,APPLOVIN,"2351,1988"
MediaSource2,lQX9cNlleNjAtuzw,VUNGLE,"388,3662"
MediaSource2,lQX9cNlleNjAtuzw,APPODEAL,"74,8631"
